Barcode,Product_Name,Category,Sugar_g_per_100g,Fat_g_per_100g,Sodium_mg_per_100g,Protein_g_per_100g,Additives,Ingredient_Text,Ingredient_Sentiment,Health_Score,Health_Label
8907104526904,Yakult Probiotic,Beverage,41.0,2.2,10,1.1,E220,"black pepper, peanuts, garlic, palm oil, salt, coriander, artificial flavor",Unhealthy,38,Unhealthy
8906505720408,Maggi Masala Noodles,Snack,22.7,12.2,549,7.9,E150d,"sugar, vitamin, artificial color, hing, brown rice",Unhealthy,38,Unhealthy
8908765803189,Quaker Oats,Breakfast,17.4,6.7,30,4.8,E200,"maltodextrin, natural, peanuts, quinoa",Healthy,80,Healthy
8904385931231,SodaPop Drink,Beverage,53.4,0.0,25,2.6,E110,"coriander, invert sugar, refined oil, salt, palm oil, flaxseed, tamarind",Unhealthy,24,Unhealthy
8909254385374,PowerBite Protein Bar,Snack,9.5,18.5,472,3.7,E120,"oats, natural, turmeric, hing, quinoa",Healthy,54,Moderate
8906639453837,Paper Boat Jaljeera,Beverage,0.0,1.5,19,3.2,E100,"ginger, artificial flavor, ragi, green gram, glucose, barley, invert sugar",Healthy,100,Healthy
8906116143207,PowerBite Protein Bar,Snack,7.5,18.2,92,6.9,E202,"preservative, garlic, ragi, honey, whey protein, coriander",Unhealthy,76,Moderate
8902326549468,Oreo Vanilla,Snack,23.8,19.1,752,2.2,E500,"walnuts, corn syrup, sugar, stabilizer, preservative, turmeric",Unhealthy,9,Unhealthy
8907738444997,Real Mixed Fruit,Beverage,65.4,0.8,166,3.2,E296,"tamarind, cumin, ragi, jaggery, fiber, artificial flavor",Healthy,13,Unhealthy
8909819284126,Soy Protein Drink,Beverage,47.4,0.6,10,1.0,E150d,"trans fat, corn syrup, glucose, preservative, vitamin, flaxseed",Unhealthy,28,Unhealthy
8903971420143,Tropicana Orange,Beverage,44.5,0.0,33,5.0,E500,"ginger, oats, sugar, salt, honey, chia",Healthy,52,Moderate
8907340382507,Granola Delight,Breakfast,11.6,2.5,323,6.9,E296,"stabilizer, clove, refined oil, walnuts, hing",Unhealthy,74,Moderate
8905038134955,Yakult Probiotic,Beverage,100.0,0.9,160,0.5,E150d,"emulsifier, oats, barley, jaggery, fructose, whey protein, quinoa",Healthy,0,Unhealthy
8908553895409,Horlicks Classic Malt,Beverage,14.4,0.8,157,14.3,E102,"coriander, maltodextrin, whole grain, ragi, fructose, artificial color, preservative",Unhealthy,95,Healthy
8903455810850,OatCrunch Cookies,Snack,8.9,22.1,509,12.6,E200,"tamarind, artificial flavor, brown rice, preservative",Unhealthy,63,Moderate
8901931984672,Kellogg's Corn Flakes,Breakfast,14.5,4.1,185,4.9,E120,"honey, hing, jaggery, maltodextrin, stabilizer, vitamin, emulsifier, coriander",Healthy,79,Moderate
8907824005370,PowerBite Protein Bar,Snack,11.0,25.5,407,4.7,E330,"clove, salt, vitamin, sugar, preservative, invert sugar, almonds",Unhealthy,43,Unhealthy
8907070748215,Granola Delight,Breakfast,18.9,8.0,181,10.0,E500,"flaxseed, jaggery, maltodextrin, trans fat, turmeric, millets, corn syrup, artificial flavor",Unhealthy,74,Moderate
8906303188653,Paper Boat Aam Panna,Beverage,56.0,0.0,31,1.8,E110,"garlic, honey, turmeric, barley, coriander",Healthy,26,Unhealthy
8901548283789,Mother Dairy Dahi,Beverage,65.7,2.9,125,0.0,E500,"peanuts, tamarind, emulsifier, almonds",Healthy,5,Unhealthy
8907301325135,Parle-G Biscuits,Snack,4.4,13.2,193,5.9,E330,"quinoa, ragi, glucose, fructose, stabilizer, turmeric, coriander",Unhealthy,77,Moderate
8909420138643,Kellogg's Muesli,Breakfast,0.0,4.4,322,11.1,E102,"almonds, refined oil, invert sugar, whole grain, green gram, jaggery, artificial color",Healthy,100,Healthy
8909398751855,Horlicks Classic Malt,Beverage,0.0,0.0,176,0.6,E102,"oats, refined oil, honey, artificial flavor, almonds, sugar, glucose, salt",Unhealthy,81,Healthy
8900926091569,ChocoBite Energy Bar,Snack,3.8,28.0,435,3.5,E102,"ragi, maltodextrin, quinoa, hing, ginger, cardamom, fructose",Unhealthy,42,Unhealthy
8901912694609,HealthyNut Mix,Snack,2.6,13.4,429,14.7,E220,"garlic, palm oil, coriander, invert sugar, almonds, sugar, salt, green gram, flaxseed",Unhealthy,88,Healthy
8900946484069,BrownBread Slice,Breakfast,1.4,9.6,417,6.6,E220,"almonds, invert sugar, brown rice, honey",Healthy,83,Healthy
8901024100098,Sunfeast Dark Fantasy,Snack,0.0,16.8,280,2.6,E330,"quinoa, invert sugar, peanuts, fiber",Healthy,75,Moderate
8907939687545,Tropicana Orange,Beverage,14.3,2.0,122,4.5,E110,"cumin, oats, maltodextrin, green gram, chia, trans fat, sugar, jaggery",Unhealthy,73,Moderate
8904290907990,HealthyNut Mix,Snack,12.5,19.1,495,5.0,E120,"corn syrup, whole grain, vitamin, green gram, fructose, ginger, garlic",Healthy,51,Moderate
8904230099432,Paper Boat Aam Panna,Beverage,51.5,2.0,68,0.0,E202,"protein, hing, honey, oats, salt, peanuts, ginger",Healthy,27,Unhealthy
8904459172312,HealthyNut Mix,Snack,5.8,22.0,208,7.5,E220,"stabilizer, quinoa, garlic, ginger, fructose, sugar, glucose, chia, hing",Unhealthy,70,Moderate
8907956289495,Britannia Marie Gold,Snack,9.7,7.6,615,3.8,E200,"glucose, green gram, quinoa, salt, flaxseed, vitamin, maltodextrin, artificial flavor",Unhealthy,50,Moderate
8909755199758,OatCrunch Cookies,Snack,10.4,38.0,498,5.5,E211,"coriander, honey, ragi, corn syrup, fiber, invert sugar, vitamin",Healthy,33,Unhealthy
8900759066694,Paper Boat Jaljeera,Beverage,67.9,0.0,61,1.7,E150d,"natural, stabilizer, salt, honey, trans fat, walnuts, almonds",Healthy,9,Unhealthy
8907393359518,Yakult Probiotic,Beverage,8.6,3.4,158,0.0,E110,"palm oil, invert sugar, corn syrup, hing, protein",Unhealthy,66,Moderate
8903049933541,Granola Delight,Breakfast,19.0,8.1,199,2.0,E500,"jaggery, whole grain, black pepper, tamarind, maltodextrin, preservative",Unhealthy,54,Moderate
8906869086057,EnergyPlus Drink,Beverage,44.5,1.9,65,2.6,E296,"coriander, ginger, refined oil, maltodextrin, turmeric",Unhealthy,35,Unhealthy
8902675489832,EnergyPlus Drink,Beverage,41.1,1.3,91,2.6,E102,"invert sugar, walnuts, artificial color, clove, garlic",Unhealthy,36,Unhealthy
8905731217953,Amul Lassi,Beverage,18.9,0.3,10,0.9,E296,"invert sugar, emulsifier, ginger, flaxseed, coriander",Unhealthy,68,Moderate
8906278815782,Too Yumm Multigrain Chips,Snack,16.1,15.0,296,3.9,E100,"protein, fructose, palm oil, salt, walnuts, vitamin",Unhealthy,50,Moderate
8908339488255,Too Yumm Multigrain Chips,Snack,0.0,21.8,464,7.8,E296,"cumin, trans fat, vitamin, garlic, sugar",Unhealthy,65,Moderate
8908931543145,ChocoBite Energy Bar,Snack,11.7,17.3,175,8.2,E100,"ragi, stabilizer, cumin, glucose, tamarind",Unhealthy,70,Moderate
8900950520078,Real Mixed Fruit,Beverage,36.4,2.2,208,1.4,E296,"corn syrup, ginger, cardamom, cumin, oats",Unhealthy,35,Unhealthy
8906900991623,Haldiram Bhujia,Snack,20.8,28.9,394,1.0,E211,"stabilizer, corn syrup, millets, refined oil, turmeric, jaggery, invert sugar",Unhealthy,15,Unhealthy
8901805725064,Kellogg's Corn Flakes,Breakfast,31.9,10.4,313,3.0,None,"glucose, palm oil, whey protein, millets, clove",Healthy,43,Unhealthy
8908439436971,Parle-G Biscuits,Snack,8.0,18.8,598,5.4,E211,"turmeric, preservative, jaggery, whole grain, whey protein",Healthy,50,Moderate
8906757094179,Tropicana Orange,Beverage,48.4,2.0,42,1.5,E500,"oats, almonds, glucose, cardamom, stabilizer",Healthy,36,Unhealthy
8904170382019,Britannia Marie Gold,Snack,13.6,6.4,514,9.0,E110,"refined oil, barley, whole grain, brown rice, almonds, oats",Healthy,68,Moderate
8904582909486,Horlicks Classic Malt,Beverage,31.7,0.0,97,0.7,E202,"chia, palm oil, maltodextrin, honey, salt",Unhealthy,47,Unhealthy
8906494402681,SodaPop Drink,Beverage,45.2,0.0,128,5.3,E200,"maltodextrin, invert sugar, artificial color, garlic, hing, refined oil, fructose",Unhealthy,39,Unhealthy
8907593754743,HealthyNut Mix,Snack,9.5,13.3,418,7.1,E110,"hing, tamarind, emulsifier, artificial color, brown rice, walnuts",Healthy,67,Moderate
8902782633108,Soy Protein Drink,Beverage,93.5,1.9,142,0.4,None,"fiber, fructose, palm oil, glucose, emulsifier",Unhealthy,0,Unhealthy
8902623590417,Amul Lassi,Beverage,0.0,1.5,73,1.6,None,"peanuts, green gram, artificial flavor, cardamom, black pepper, ragi, natural, corn syrup",Healthy,100,Healthy
8900400736716,Kellogg's Corn Flakes,Breakfast,7.2,4.4,223,3.8,E330,"flaxseed, trans fat",Unhealthy,76,Moderate
8907049085047,Mother Dairy Dahi,Beverage,36.6,1.1,88,0.0,E211,"glucose, invert sugar, trans fat, stabilizer, corn syrup, millets",Unhealthy,35,Unhealthy
8901754416548,Yakult Probiotic,Beverage,60.2,0.1,130,0.0,E220,"sugar, oats, corn syrup, ginger",Unhealthy,7,Unhealthy
8907289716950,Granola Delight,Breakfast,25.3,5.6,30,7.4,None,"emulsifier, artificial color, turmeric, oats, almonds, ginger, millets",Healthy,81,Healthy
8900072749207,Granola Delight,Breakfast,26.5,9.9,156,6.6,E102,"maltodextrin, coriander, green gram, fiber, vitamin, turmeric, salt, natural, almonds",Healthy,60,Moderate
8906808453394,SodaPop Drink,Beverage,43.6,0.0,13,2.3,E120,"protein, green gram, coriander, sugar, chia",Healthy,48,Unhealthy
8906166081232,Soy Protein Drink,Beverage,72.6,0.6,140,7.6,E296,"artificial flavor, barley, trans fat, preservative, refined oil, glucose",Unhealthy,8,Unhealthy
8906461948622,Kurkure Masala Munch,Snack,23.3,18.9,226,7.1,E211,"preservative, millets, stabilizer, fructose, cumin, coriander, emulsifier, oats, refined oil",Unhealthy,45,Unhealthy
8901199452564,Granola Delight,Breakfast,20.6,4.2,484,9.1,E500,"coriander, maltodextrin, glucose, barley, salt, whey protein",Healthy,66,Moderate
8903471015350,Tropicana Orange,Beverage,21.9,1.3,66,0.0,E330,"walnuts, ragi, flaxseed, corn syrup, palm oil, artificial color, preservative",Unhealthy,58,Moderate
8900152921438,PowerBite Protein Bar,Snack,6.0,15.3,425,7.8,E200,"cumin, sugar, protein, fiber, walnuts",Healthy,74,Moderate
8907974099596,Tropicana Orange,Beverage,69.9,0.0,144,2.0,E120,"salt, walnuts, quinoa, green gram, tamarind, stabilizer",Healthy,6,Unhealthy
8905272825777,Bournvita Health Drink,Beverage,84.8,2.4,74,0.0,E200,"oats, fructose, cumin, garlic, invert sugar, sugar",Unhealthy,0,Unhealthy
8900210901480,Saffola Oats,Breakfast,19.4,9.1,228,9.1,None,"chia, flaxseed, palm oil, green gram, black pepper, protein, coriander",Healthy,80,Healthy
8904357698460,OatCrunch Cookies,Snack,20.4,23.2,485,4.4,E200,"emulsifier, ginger, whole grain, natural, refined oil, trans fat, black pepper",Unhealthy,28,Unhealthy
8907184366930,Baked Veggie Chips,Snack,18.0,28.7,343,3.3,E296,"artificial flavor, cardamom, flaxseed, hing",Unhealthy,30,Unhealthy
8900801621859,Sunfeast Dark Fantasy,Snack,15.4,26.8,385,1.0,E220,"palm oil, fructose, black pepper, coriander, tamarind, walnuts, corn syrup",Unhealthy,28,Unhealthy
8901766969919,Kellogg's Muesli,Breakfast,10.2,1.4,304,5.1,E211,"corn syrup, stabilizer, millets, garlic, palm oil, preservative, quinoa",Unhealthy,71,Moderate
8902865159927,Kellogg's Muesli,Breakfast,1.7,7.6,270,6.5,E102,"glucose, ginger, chia, black pepper",Unhealthy,81,Healthy
8904738118624,Paper Boat Aam Panna,Beverage,57.3,0.0,132,11.7,E200,"sugar, artificial color, whole grain, trans fat, artificial flavor",Unhealthy,39,Unhealthy
8906825259721,Tropicana Orange,Beverage,43.4,0.0,81,3.1,E120,"peanuts, emulsifier, natural, vitamin, ginger, millets",Healthy,47,Unhealthy
8906724172140,Amul Lassi,Beverage,2.0,2.6,79,4.0,E200,"palm oil, peanuts, quinoa, sugar, tamarind, artificial flavor",Unhealthy,92,Healthy
8908616870097,Kellogg's Corn Flakes,Breakfast,17.7,6.9,30,7.7,E110,"barley, emulsifier, chia, hing, natural, cumin",Healthy,84,Healthy
8908641038895,PowerBite Protein Bar,Snack,12.3,10.9,211,22.3,None,"peanuts, artificial flavor, glucose, quinoa, emulsifier, brown rice, maltodextrin",Unhealthy,100,Healthy
8907068511509,Amul Lassi,Beverage,80.3,0.7,90,0.0,E120,"palm oil, barley, artificial color, turmeric, walnuts",Unhealthy,0,Unhealthy
8906288993988,Haldiram Bhujia,Snack,0.0,16.5,483,1.6,E220,"preservative, quinoa, almonds, peanuts, fiber, hing",Healthy,63,Moderate
8906947413116,PowerBite Protein Bar,Snack,11.3,25.7,494,23.1,E110,"stabilizer, quinoa, ragi, fructose, coriander, hing",Unhealthy,79,Moderate
8903154923496,Real Mixed Fruit,Beverage,50.6,0.4,133,4.4,E296,"refined oil, cumin, coriander, ragi, trans fat, jaggery, ginger, whey protein",Unhealthy,29,Unhealthy
8905582493932,Real Mixed Fruit,Beverage,69.3,0.7,129,0.0,E220,"fiber, emulsifier, coriander, salt, artificial color, hing, whey protein, garlic",Unhealthy,0,Unhealthy
8905460180238,Real Mixed Fruit,Beverage,60.6,1.1,159,4.2,E120,"invert sugar, whole grain, almonds, quinoa, stabilizer, preservative, walnuts",Unhealthy,14,Unhealthy
8905515391681,Horlicks Classic Malt,Beverage,12.9,1.9,22,0.1,E200,"garlic, whey protein, jaggery, corn syrup, glucose",Unhealthy,72,Moderate
8901007822190,Kellogg's Corn Flakes,Breakfast,5.7,7.8,30,5.7,E110,"salt, peanuts, refined oil, clove, trans fat, maltodextrin",Unhealthy,85,Healthy
8906271765732,Kellogg's Muesli,Breakfast,10.8,5.2,312,5.0,E100,"fructose, artificial flavor, vitamin, coriander, emulsifier, peanuts",Unhealthy,69,Moderate
8906146887199,Kellogg's Corn Flakes,Breakfast,7.5,5.5,179,8.5,E150d,"hing, walnuts, corn syrup, glucose, fructose, almonds, preservative, brown rice",Unhealthy,85,Healthy
8908546602942,OatCrunch Cookies,Snack,1.5,28.6,425,5.3,E211,"sugar, fiber, fructose, walnuts, maltodextrin",Unhealthy,49,Unhealthy
8908057768289,Bournvita Health Drink,Beverage,88.1,3.0,31,0.0,E120,"glucose, honey, stabilizer, salt, protein, flaxseed, green gram",Healthy,0,Unhealthy
8903108684246,Tropicana Orange,Beverage,47.3,1.5,124,14.5,E500,"trans fat, ragi, honey, walnuts, flaxseed, turmeric, ginger",Healthy,65,Moderate
8904925765207,Saffola Oats,Breakfast,11.2,3.3,243,7.2,E202,"protein, maltodextrin, corn syrup, stabilizer, preservative, ragi",Unhealthy,79,Moderate
8904397707341,BrownBread Slice,Breakfast,30.5,4.8,207,7.0,E200,"trans fat, maltodextrin, ragi, barley, walnuts, emulsifier, natural",Healthy,62,Moderate
8904676745013,ChocoBite Energy Bar,Snack,1.5,12.2,120,4.4,E202,"artificial color, fructose, walnuts, maltodextrin",Unhealthy,82,Healthy
8903457674166,Real Mixed Fruit,Beverage,100.0,3.0,165,1.5,E110,"ginger, maltodextrin, quinoa, artificial flavor, honey, garlic",Healthy,0,Unhealthy
8900273302657,HealthyNut Mix,Snack,35.9,19.6,339,3.4,E120,"preservative, quinoa, emulsifier, fructose, flaxseed, corn syrup, hing",Unhealthy,16,Unhealthy
8909423220337,Maggi Masala Noodles,Snack,5.8,17.1,225,6.3,None,"chia, artificial flavor, walnuts, corn syrup, fiber, coriander, green gram",Healthy,83,Healthy
8905375492084,Mother Dairy Dahi,Beverage,22.3,2.8,110,4.8,E211,"fiber, black pepper, chia, maltodextrin, cumin",Healthy,71,Moderate
8907029852299,Tropicana Orange,Beverage,43.6,2.0,75,5.5,E296,"fructose, artificial color, turmeric, ginger, brown rice",Unhealthy,42,Unhealthy
8907075538538,Kellogg's Muesli,Breakfast,4.5,0.2,170,8.9,E102,"tamarind, green gram, chia, quinoa, flaxseed, stabilizer, salt, black pepper",Healthy,100,Healthy
8903375117376,Britannia Marie Gold,Snack,9.3,17.2,365,4.3,E150d,"quinoa, fiber, millets, walnuts, coriander, preservative",Healthy,59,Moderate
8906262804829,Saffola Oats,Breakfast,23.8,5.2,261,7.9,E110,"turmeric, ragi, refined oil, barley, vitamin",Healthy,66,Moderate
8907450313450,Parle-G Biscuits,Snack,15.5,9.7,365,3.5,E110,"hing, stabilizer, walnuts, fiber, ragi",Healthy,57,Moderate
8901878164755,Amul Toned Milk,Beverage,64.7,1.0,109,0.0,E220,"cardamom, whey protein, chia, refined oil, black pepper, trans fat, tamarind, preservative",Unhealthy,1,Unhealthy
8909019605078,EnergyPlus Drink,Beverage,1.6,1.9,99,0.0,E330,"artificial color, vitamin, hing, cardamom, natural, maltodextrin, clove",Unhealthy,83,Healthy
8904207581613,Tropicana Orange,Beverage,38.2,0.0,120,0.0,E211,"stabilizer, preservative, fiber, salt, emulsifier",Unhealthy,33,Unhealthy
8907891518695,ZeroSugar Soda,Beverage,17.1,0.1,46,4.6,E296,"ragi, jaggery, walnuts, almonds, palm oil",Healthy,86,Healthy
8903610697387,ChocoBite Energy Bar,Snack,0.0,17.4,263,3.2,E100,"stabilizer, jaggery, coriander, green gram, whey protein",Healthy,77,Moderate
8903554093231,Kellogg's Muesli,Breakfast,7.6,9.2,122,5.8,E296,"stabilizer, quinoa, green gram, black pepper, preservative, maltodextrin, artificial flavor, tamarind",Unhealthy,80,Healthy
8907126831522,Horlicks Classic Malt,Beverage,42.3,1.9,132,0.0,E211,"palm oil, ginger, artificial color, barley, whey protein",Unhealthy,25,Unhealthy
8906920832255,Kellogg's Muesli,Breakfast,2.0,6.5,157,9.5,E120,"palm oil, preservative, emulsifier, invert sugar, black pepper, millets",Unhealthy,97,Healthy
8907099784449,Yakult Probiotic,Beverage,31.8,2.5,10,0.7,E296,"preservative, emulsifier, turmeric, walnuts, almonds",Unhealthy,49,Unhealthy
8902615178464,Paper Boat Jaljeera,Beverage,63.0,0.0,121,2.7,E211,"clove, quinoa, artificial flavor, tamarind, invert sugar, millets, brown rice",Healthy,15,Unhealthy
8900717993489,Yakult Probiotic,Beverage,28.3,0.8,79,7.9,E296,"oats, maltodextrin, fiber, coriander, chia, stabilizer, artificial color",Unhealthy,69,Moderate
